date,hour,temperature,humidity,pressure,weather
2015-01-27,08,7.8,96,100.87,
2015-01-27,09,7.9,96,100.92,
2015-01-27,10,8.5,96,100.98,
2015-01-27,11,9.0,96,101.03,
2015-01-27,12,9.4,95,101.09,
2015-01-27,13,10.4,95,101.09,
2015-01-27,14,11.9,81,101.11,
2015-01-27,15,12.1,70,101.14,
2015-01-27,16,11.0,71,101.16,
2015-01-27,17,10.5,68,101.20,
2015-01-27,18,8.6,79,101.24,
2015-01-27,19,8.5,85,101.33,
2015-01-27,20,7.8,83,101.42,
2015-01-27,21,7.0,85,101.49,
2015-01-27,22,7.9,78,101.57,
2015-01-27,23,7.5,74,101.64,
2015-01-27,24,7.0,76,101.73,
2015-01-28,01,5.4,83,101.80,
2015-01-28,02,5.4,86,101.83,
2015-01-28,03,3.8,89,101.88,
2015-01-28,04,3.9,92,101.93,
2015-01-28,05,4.9,93,101.99,
2015-01-28,06,5.8,93,102.03,
2015-01-28,07,6.1,91,102.05,
2015-01-28,08,6.1,90,102.08,
2015-01-28,09,6.3,86,102.13,
2015-01-28,10,6.9,87,102.15,
2015-01-28,11,7.5,85,102.22,
2015-01-28,12,8.0,83,102.25,
2015-01-28,13,8.6,84,102.22,
2015-01-28,14,9.2,81,102.20,
2015-01-28,15,9.9,77,102.16,
2015-01-28,16,8.9,80,102.14,
2015-01-28,17,9.5,75,102.15,
2015-01-28,18,7.6,84,102.13,
2015-01-28,19,7.0,89,102.13,
2015-01-28,20,6.4,89,102.13,
2015-01-28,21,5.8,89,102.14,
2015-01-28,22,6.2,88,102.15,
2015-01-28,23,6.0,85,102.18,
2015-01-28,24,6.1,89,102.18,
2015-01-29,01,6.2,86,102.18,
2015-01-29,02,6.6,84,102.17,
2015-01-29,03,6.5,84,102.18,
2015-01-29,04,6.7,83,102.19,
2015-01-29,05,6.3,86,102.18,
2015-01-29,06,6.4,86,102.15,
2015-01-29,07,6.5,88,102.13,
2015-01-29,08,6.1,91,102.10,
2015-01-29,09,5.9,91,102.13,
2015-01-29,10,6.4,90,102.13,
2015-01-29,11,7.8,84,102.19,
2015-01-29,12,7.9,83,102.19,
2015-01-29,13,8.1,83,102.14,
2015-01-29,14,8.5,78,102.07,
2015-01-29,15,8.9,75,102.03,
2015-01-29,16,8.5,77,101.99,
2015-01-29,17,8.6,77,101.95,
2015-01-29,18,7.0,87,101.94,
2015-01-29,19,6.7,87,101.92,
2015-01-29,20,6.5,90,101.93,
2015-01-29,21,6.1,92,101.92,
